Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444037/SRR8444037_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444038/SRR8444038_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8444043/SRR8444043_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970629/SRR7970629_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970630/SRR7970630_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970631/SRR7970631_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970598/SRR7970598_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970599/SRR7970599_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970600/SRR7970600_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269830/SRR8269830_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269647/SRR8269647_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269650/SRR8269650_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916318/SRR10916318_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916319/SRR10916319_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916320/SRR10916320_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970603/SRR7970603_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970606/SRR7970606_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7970610/SRR7970610_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027727/SRR9027727_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027728/SRR9027728_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027730/SRR9027730_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916163/SRR10916163_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916164/SRR10916164_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR10916165/SRR10916165_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-115_RNA_cac-1__Rep1_S139/149-115_RNA_cac-1__Rep1_S139_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-117_RNA_cac-1__Rep3_S141/149-117_RNA_cac-1__Rep3_S141_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-65_RNA_cac-1_cac-2___S65/149-65_RNA_cac-1_cac-2___S65_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-66_RNA_cac-1_cac-2___S66/149-66_RNA_cac-1_cac-2___S66_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-67_RNA_cac-1_cac-2___S67/149-67_RNA_cac-1_cac-2___S67_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-96_RNA_cac-1-suz-12__Rep1_S96/149-96_RNA_cac-1-suz-12__Rep1_S96_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-97_RNA_cac-1-suz-12__Rep2_S121/149-97_RNA_cac-1-suz-12__Rep2_S121_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-98_RNA_cac-1-suz-12__Rep3_S122/149-98_RNA_cac-1-suz-12__Rep3_S122_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7690267/SRR7690267_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/RNAseq/bamFiles/SRR7690268/SRR7690268_Aligned.sortedByCoord.out.bam
NCU02740	CM002236.1;CM002236.1	3388258;3388400	3388311;3389293	+;+	948	13	10	13	25	26	10	9	22	5	17	23	22	8	8	4	16	14	3	10	25	12	13	27	16	16	8	6	12	4	14	8	2	4	0	8	18	10	13	8	10	14	13
mei-3	CM002236.1;CM002236.1;CM002236.1	3390334;3390491;3390711	3390429;3390638;3391528	+;+;+	1062	1536	1728	1244	1440	1127	1169	2020	2542	2616	344	317	602	352	290	381	1018	1164	749	1303	1444	1131	2424	2810	2822	2312	373	256	333	362	1433	757	254	549	344	684	794	625	672	536	881	224	341
NCU02742	CM002236.1;CM002236.1	3392403;3393118	3393060;3396311	+;+	3852	4693	4218	4245	4583	3756	3800	4694	6181	5565	1380	1237	1612	879	813	860	4010	3832	2809	1850	1761	1709	6722	7928	7526	6697	636	742	945	376	1456	893	291	562	279	676	982	597	2566	1650	2686	598	901
NCU02743	CM002236.1;CM002236.1;CM002236.1	3397154;3397417;3397640	3397305;3397558;3398329	-;-;-	984	4290	3778	4282	4111	3571	3916	4540	5661	5378	2191	2510	3114	1356	881	1140	4517	4604	3089	1890	2153	1739	7645	8712	8669	7588	892	1059	1075	487	1694	1411	576	1165	652	1311	2045	1084	2462	1789	2662	238	352
NCU02744	CM002236.1;CM002236.1;CM002236.1;CM002236.1	3399545;3399886;3400289;3400559	3399590;3400189;3400466;3400612	+;+;+;+	582	83869	93417	82575	79047	68740	73949	82216	100715	97088	43781	46782	66569	24078	20612	22422	61229	56527	45897	33585	40832	28964	116277	141722	141521	116730	18139	22652	25252	8616	30222	19809	7260	14114	8093	24065	27061	15311	32147	29761	42479	7891	7025
NCU02745	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3402029;3402029;3402029;3402298;3402298;3402298	3402219;3402219;3402219;3403246;3403246;3403246	-;-;-;-;-;-	1140	5387	4356	4581	4525	3784	4005	4059	5693	4944	2072	1961	2489	1458	1288	1089	3917	4181	2826	1611	2196	1669	6038	6816	6817	5781	856	1125	1034	469	1096	1054	636	1545	709	1285	1620	1035	2319	1509	2563	293	427
vma-13	CM002236.1;CM002236.1;CM002236.1	3405788;3406287;3406881	3406082;3406821;3407496	+;+;+	1446	14694	14880	14587	15281	12837	14534	11869	14435	14463	10088	10029	13508	4649	3590	4151	15013	15722	11491	7337	8809	6472	22591	25621	25010	22586	3630	3779	4664	2306	7435	6605	2885	5038	3351	6003	9091	4794	9268	6929	9063	811	989
NCU16374	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3408101;3408326;3408487;3408805;3409083	3408115;3408356;3408499;3408874;3409235	+;+;+;+;+	282	2266	1936	2530	3263	2923	3035	5454	6192	6119	1283	1835	2720	1341	825	650	3597	3740	3100	2936	3360	2374	6023	8361	8436	6173	910	924	1858	331	1246	847	435	1047	599	849	1142	551	2753	2234	2544	113	194
NCU02747	CM002236.1;CM002236.1	3409892;3411545	3411481;3413812	-;-	3858	3542	3125	3211	2925	2720	2592	3140	4193	3633	1497	1549	2025	817	671	634	3190	3337	2345	1080	1026	1122	4802	6253	6341	4750	598	552	621	337	1210	738	292	776	392	761	1178	658	1957	1047	1756	275	541
NCU02748	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3415577;3415577;3416098;3416098;3416313;3416313	3416015;3416015;3416216;3416216;3416717;3416717	-;-;-;-;-;-	963	1586	1390	1455	1574	1447	1450	1740	2336	2250	297	337	526	382	267	303	1134	1216	1046	566	630	488	1890	2304	2369	1865	218	262	287	220	671	379	199	367	220	1033	1129	613	801	468	788	215	171
NCU02749	CM002236.1;CM002236.1;CM002236.1	3418079;3418198;3419195	3418131;3419030;3419838	-;-;-	1530	2496	2336	2313	2053	1836	1814	2272	2758	2713	1290	1398	1793	899	589	578	1809	1884	1212	528	652	609	3724	4569	4406	3669	514	624	413	250	490	477	255	553	312	459	748	363	1070	774	1306	155	225
NCU02750	CM002236.1;CM002236.1;CM002236.1;CM002236.1	3421435;3424821;3425036;3426147	3424761;3424978;3425494;3426162	-;-;-;-	3960	2613	2353	2400	2463	2299	2186	1826	2335	1902	2759	2388	3070	790	608	598	2569	2677	1842	731	900	861	4862	5858	5999	4983	509	566	708	341	1004	827	658	1288	741	872	1281	819	1533	809	1595	231	414
mus-59	CM002236.1;CM002236.1;CM002236.1;CM002236.1	3432698;3432817;3433610;3433997	3432737;3433553;3433912;3436618	+;+;+;+	3702	570	575	539	579	522	370	506	664	571	321	300	442	145	126	106	624	617	391	100	143	111	1178	1389	1492	1174	99	111	140	30	172	114	62	85	30	102	123	56	259	216	494	106	222
NCU02752	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3438076;3438076;3439336;3439336;3439633;3439633;3440359;3440359;3440752;3440752;3440907;3440907	3439263;3439263;3439578;3439578;3440296;3440296;3440628;3440628;3440829;3440829;3441094;3441094	-;-;-;-;-;-;-;-;-;-;-;-	2631	1969	1552	1798	1930	1754	1826	1517	1928	1603	1270	1273	1769	662	474	420	1809	2032	1339	947	1067	917	3247	4033	4055	3241	540	338	383	254	777	698	303	693	545	594	791	496	1239	710	1121	100	148
NCU02753	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3443675;3443898;3443997;3444427;3444831	3443838;3443942;3444372;3444739;3444961	-;-;-;-;-	1029	2051	2070	2140	2249	2119	2196	1879	2334	2388	1162	1213	1580	651	443	537	2012	1949	1599	1119	1173	833	3232	4303	4232	3094	382	477	586	203	713	648	385	670	318	600	764	406	1146	876	1201	124	201
NCU11228	CM002236.1;CM002236.1;CM002236.1	3445800;3446262;3448498	3446195;3448439;3449262	+;+;+	3339	8199	7528	7782	8566	7225	8116	5369	6689	6078	5414	4919	6005	1858	1804	1647	8123	7973	5713	3269	3454	3370	10396	12366	12192	10481	1417	1516	1160	459	1555	1357	591	1161	561	1421	2048	1116	5012	2534	4569	436	634
ckb-2	CM002236.1;CM002236.1;CM002236.1	3450314;3450454;3450782	3450370;3450699;3451336	+;+;+	858	4061	4057	3808	3374	3034	3139	3847	4520	4678	1926	1941	2677	1471	1204	1071	3060	2976	2173	1447	1624	1173	5303	6251	6243	5108	1062	1080	988	516	1746	1263	465	707	457	1236	2134	985	1722	1231	2112	513	427
NCU02755	CM002236.1;CM002236.1;CM002236.1	3452408;3453235;3453762	3453150;3453677;3454042	-;-;-	1467	3626	2369	3061	3106	2677	2582	3195	4234	3827	938	918	1323	1288	936	768	3290	3403	2197	1201	1593	1198	6497	7770	7494	6178	728	923	1164	340	1290	912	208	472	341	921	1447	771	2177	1517	2994	249	359
NCU02757	CM002236.1;CM002236.1;CM002236.1	3456286;3456455;3456591	3456390;3456528;3457563	-;-;-	1152	5340	5092	5223	5122	4447	4857	6344	8104	7724	2747	2403	3231	1999	1799	1738	3957	3729	3120	2422	2996	2316	8049	9509	9544	7758	1088	1303	1461	750	3108	1841	424	880	504	2446	3151	1644	2585	1950	2733	768	519
NCU02758	CM002236.1;CM002236.1;CM002236.1;CM002236.1	3459335;3459443;3460793;3460988	3459346;3460726;3460931;3461100	+;+;+;+	1548	4322	3553	3687	2971	2507	2386	3199	3867	3859	1587	1495	2064	1123	758	671	3196	3639	2213	973	1071	1076	6578	8006	8148	6615	658	613	685	248	601	705	500	1179	625	1051	1104	935	1888	1163	2063	332	586
NCU16375	CM002236.1	3461533	3461931	+	399	644	513	609	487	424	381	695	882	730	333	289	412	394	352	296	527	648	404	175	285	190	1435	1677	1722	1453	327	327	905	244	900	548	549	1447	623	1889	1579	1682	333	440	721	173	146
NCU02759	CM002236.1	3463256	3464209	-	954	1183	963	1109	1323	1165	1147	947	1105	1128	746	738	991	525	483	449	1310	1112	1019	760	921	651	1878	2271	2193	1915	487	455	682	224	800	526	158	248	171	548	823	409	793	944	1087	219	193
NCU02761	CM002236.1	3466560	3466913	-	354	856	760	827	727	611	707	386	441	439	522	444	745	331	292	328	745	833	547	388	481	359	1093	1154	1140	970	440	401	582	198	525	475	129	246	146	340	479	187	446	352	472	144	208
smco-1	CM002236.1;CM002236.1	3468877;3469788	3469726;3475594	-;-	6657	2824	2274	2469	2863	2404	2248	2341	3107	2486	1115	1133	1328	673	431	426	2694	2578	2002	1153	1284	1070	4918	5835	5824	4864	372	340	420	339	1182	701	257	437	317	532	1118	503	1749	814	1682	360	552
NCU09388	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3496178;3496415;3496574;3496781;3496938	3496354;3496509;3496691;3496879;3498818	+;+;+;+;+	2370	1383	1126	1287	1244	1065	1029	1715	2198	2102	408	421	567	370	242	219	1066	1224	900	465	555	532	2714	3371	3317	2718	224	233	155	66	233	236	66	114	46	161	281	125	668	421	832	125	290
fmf-1	CM002236.1;CM002236.1;CM002236.1	3502631;3502846;3502975	3502768;3502902;3504624	+;+;+	1845	742	712	716	833	744	758	435	548	519	706	608	782	385	280	195	746	754	532	442	478	382	1274	1341	1427	1175	397	233	275	65	162	114	88	122	57	152	238	78	446	302	419	64	42
NCU09386	CM002236.1;CM002236.1	3505918;3506089	3505973;3506470	+;+	438	1371	1210	1311	1594	1567	1461	1405	1626	1690	684	698	994	823	650	720	1646	1859	1150	732	926	551	3528	4066	4169	3430	500	610	847	368	1486	954	338	708	381	848	1409	849	1017	831	1568	119	179
NCU09384	CM002236.1;CM002236.1;CM002236.1	3507725;3508844;3509339	3508777;3509273;3510474	+;+;+	2619	245	290	250	211	143	224	172	202	163	166	200	303	87	48	68	175	208	119	94	130	85	304	368	405	296	63	36	98	44	168	104	34	75	53	78	122	64	72	73	143	27	45
NCU09383	CM002236.1	3511088	3511891	-	804	632	375	494	465	415	475	306	391	472	150	143	218	244	142	174	500	544	368	268	320	203	933	1149	1187	994	226	204	317	37	113	99	47	107	65	96	76	37	351	257	407	48	88
NCU09382	CM002236.1	3513471	3514631	+	1161	1163	1062	1218	1189	981	970	2114	2631	2711	243	248	408	311	284	385	747	649	571	103	191	228	1130	1280	1266	1088	245	306	353	46	216	142	55	103	57	119	208	82	399	362	458	101	82
NCU09381	CM002236.1;CM002236.1	3514869;3515557	3515485;3515623	-;-	684	3521	3576	3662	3965	3287	3695	4924	6313	6306	1647	1853	2538	1323	876	1525	3274	3120	2700	1641	2084	1484	5206	6507	6466	5333	1095	1094	1200	312	1340	616	177	450	195	644	802	401	1932	1587	2481	563	490
NCU09380	CM002236.1;CM002236.1	3516185;3516498	3516422;3518299	+;+	2040	2140	1998	1864	1710	1298	1232	2338	3363	3170	267	241	345	518	543	445	877	1017	702	203	315	301	2009	2248	2219	1840	382	404	500	46	216	107	36	95	30	114	192	61	419	405	778	265	202
NCU09379	CM002236.1;CM002236.1	3519553;3520331	3520246;3520617	+;+	981	209	401	144	279	257	314	259	310	311	41	31	63	22	15	8	48	39	28	48	43	34	112	141	187	108	6	21	23	56	95	85	51	122	71	62	66	35	29	22	48	26	43
NCU09378	CM002236.1;CM002236.1	3521272;3521464	3521393;3521782	-;-	441	1521	1578	1576	1750	1545	1413	1286	1656	1564	695	691	1035	581	477	481	1190	1444	1115	574	719	589	2658	3246	3088	2676	504	532	562	330	918	718	319	693	405	770	1033	653	817	743	1179	228	223
rgb-1	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3523573;3523573;3523672;3523672;3523879;3524379;3524379;3525126;3525126;3525329;3525329;3525616;3525616	3523596;3523596;3523824;3524258;3524258;3525030;3525030;3525223;3525223;3525369;3525369;3525659;3525659	-;-;-;-;-;-;-;-;-;-;-;-;-	1446	11250	10212	10762	10781	9800	9996	8311	10353	9608	4868	5169	6777	2606	1928	2204	9649	9355	7011	4256	4418	3879	14732	17468	17363	14100	2088	2087	1787	1028	3197	2812	1805	3375	1696	4393	5299	3805	5642	3700	5537	733	1276
NCU09376	CM002236.1	3527701	3528870	+	1170	1086	1210	1158	1288	1109	1172	960	1224	1022	879	1012	1412	375	301	269	916	845	631	586	705	492	1891	2447	2532	1891	233	294	250	262	719	742	250	455	223	622	777	425	655	412	677	111	118
NCU09375	CM002236.1;CM002236.1;CM002236.1	3530348;3530736;3531124	3530673;3531031;3531305	+;+;+	804	4285	3325	3870	4454	3738	4225	3607	4186	4354	2716	2607	3725	1976	1626	1336	3541	3378	2356	1998	2542	1648	6906	8261	8166	7018	1086	1285	2025	558	1693	1397	828	1882	852	1707	2067	1123	2005	1851	3189	404	440
NCU09374	CM002236.1;CM002236.1	3531983;3535005	3534914;3536419	-;-	4347	2200	2195	1955	2400	2149	2406	2038	2491	1959	1463	1264	1618	609	468	339	2065	1921	1515	910	1020	879	3119	3699	3603	3115	423	451	318	148	442	282	205	305	114	483	567	337	1316	822	1075	183	227
mlh-2	CM002236.1;CM002236.1	3537800;3539154	3538915;3540356	-;-	2319	19	14	12	24	21	13	10	18	19	12	3	13	14	6	4	17	25	10	5	11	16	16	26	16	13	14	0	9	0	13	6	2	9	15	6	8	4	12	4	9	10	15
NCU09372	CM002236.1;CM002236.1;CM002236.1	3541003;3541252;3541746	3541185;3541677;3541793	-;-;-	657	68	78	47	127	118	97	93	141	116	6	7	12	13	4	0	18	25	11	11	18	12	42	52	26	34	6	7	6	14	65	48	71	127	37	52	28	36	25	15	8	35	55
NCU09371	CM002236.1;CM002236.1	3544253;3544710	3544458;3545115	+;+	612	7851	7902	7487	10109	9162	9402	12011	13241	13731	4762	4175	5666	3438	2966	3396	10351	10357	8474	4960	6849	4187	13672	16723	16721	13985	2821	2882	4843	4024	13808	9646	2486	4596	2961	11818	16820	8527	6147	4524	6781	1067	845
NCU09370	CM002236.1;CM002236.1;CM002236.1;CM002236.1	3545784;3545784;3548507;3548507	3548322;3548322;3548742;3548742	-;-;-;-	2775	5539	4640	4919	5122	4438	4369	4140	5121	4509	2956	2693	3519	1646	1243	1109	4804	4488	3552	1794	2050	1743	10688	13526	13396	10622	1079	1214	1156	1010	3462	2488	2379	5224	2181	3776	4387	3490	3105	1802	3654	817	1038
NCU09368	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3566684;3566684;3566684;3567111;3567111;3567111;3567892;3567892;3567892;3568072;3568072;3568072;3568199;3568199;3568199;3568438;3568438;3568438;3568661	3567054;3567054;3567054;3567809;3567809;3567809;3567990;3567990;3567990;3568130;3568130;3568130;3568345;3568345;3568345;3568579;3568583;3568583;3568775	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1636	853	805	736	867	779	973	921	1151	1089	468	472	559	196	155	119	804	916	650	489	488	429	1186	1472	1504	1247	179	148	130	110	249	288	163	217	199	188	297	149	511	333	473	49	88
stt4	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3569437;3570693;3571054;3571313;3573710;3575371	3570633;3570980;3571260;3573655;3575308;3575583	-;-;-;-;-;-	5847	7530	5578	6992	6905	6153	5961	6503	8057	6753	4118	4192	5259	1767	1341	1192	6831	7011	4864	3203	3378	3108	12094	13747	13487	12021	1160	1090	1144	474	1331	1208	362	609	460	825	1291	616	4698	2419	4235	336	788
pcb-6	CM002236.1;CM002236.1	3577359;3577547	3577468;3578234	+;+	798	8924	8055	8475	8381	7679	7988	8415	10587	10371	4772	4842	6856	2880	2073	2327	7665	8057	6266	4167	4904	3726	16559	19818	19618	16591	1935	2265	1926	959	2827	2236	973	1807	899	2117	3212	1426	4854	3842	6301	756	750
NCU16376	CM002236.1	3580902	3581318	-	417	46	61	44	49	24	45	38	30	26	21	39	31	15	16	15	22	45	25	18	9	24	35	51	45	32	12	9	1	4	8	7	2	7	8	8	19	10	26	7	18	8	4
NCU09365	CM002236.1;CM002236.1;CM002236.1;CM002236.1	3583031;3583892;3584058;3584705	3583832;3583951;3584614;3585409	+;+;+;+	2124	473	585	454	417	413	454	270	395	302	326	322	445	235	81	162	327	358	272	158	193	149	439	575	616	521	143	112	133	152	316	398	204	545	243	262	413	248	156	131	209	38	44
hsp30	CM002236.1	3587128	3587814	+	687	711	623	626	807	761	846	724	846	993	233	272	386	256	188	238	529	477	388	386	472	319	784	953	894	749	114	184	243	405	360	275	72	201	162	264	296	179	335	315	320	85	121
NCU10352	CM002236.1;CM002236.1;CM002236.1	3588437;3588564;3588801	3588459;3588677;3588912	-;-;-	249	4618	4229	4496	5485	4564	5257	4829	5432	5682	2391	2634	3899	1651	1016	1209	4026	3972	3371	2622	2921	2050	7569	9006	9392	7243	954	1287	1628	642	1934	1412	981	1745	1003	1601	2012	1174	2608	1767	3318	251	416
NCU09363	CM002236.1;CM002236.1	3589957;3590472	3590379;3591302	+;+	1254	391	304	354	352	367	464	298	352	306	289	283	431	117	64	96	263	242	178	180	224	157	734	870	852	789	57	90	105	37	125	96	60	109	75	82	179	47	168	119	256	20	51
NCU09362	CM002236.1;CM002236.1	3592036;3592332	3592253;3595098	-;-	2985	1894	1465	1756	1703	1540	1558	1504	1779	1771	898	866	1202	629	391	430	1633	1586	1251	838	976	819	3084	3622	3675	2863	429	392	508	197	484	405	145	260	177	433	629	339	1127	776	1168	189	322
NCU09360	CM002236.1;CM002236.1	3638469;3638855	3638509;3640316	+;+	1503	1537	1035	1629	1529	1353	1546	1213	1512	1411	1712	1565	2010	678	667	671	1282	1315	981	942	1070	676	2130	2650	2711	2135	495	500	557	256	1022	816	495	946	555	372	641	285	974	814	979	136	119
NCU09999	CM002236.1;CM002236.1;CM002236.1	3664545;3664836;3665188	3664776;3665083;3665610	+;+;+	903	4451	4230	4059	4305	3907	3822	5017	6433	5889	2307	2505	3573	1361	1521	1045	3195	3007	2088	2326	2953	2147	6135	7482	7498	6367	1097	1099	1096	579	2207	1570	308	600	351	1127	1392	668	2047	2074	2779	725	629
NCU09998	CM002236.1;CM002236.1;CM002236.1	3666252;3670427;3670638	3670361;3670538;3670705	-;-;-	4290	4525	4247	4065	3697	3216	3423	3231	3827	3643	2456	2143	2680	1082	761	810	3847	3890	2905	1505	1421	1485	5484	6673	6486	5704	735	716	712	363	1068	981	658	1062	649	1214	1464	1040	2515	1334	2502	240	648
NCU09996	CM002236.1;CM002236.1;CM002236.1	3671763;3671968;3672203	3671901;3672133;3672590	+;+;+	693	851	852	826	1080	924	1036	1102	1283	1155	578	611	766	388	349	350	641	716	574	433	549	400	1033	1354	1361	1049	271	267	499	181	593	484	321	595	318	695	804	373	445	375	473	82	55
NCU09995	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3675652;3675652;3675652;3675948;3675948;3675948;3676228;3676301;3676301	3675715;3675715;3675715;3676165;3676165;3676165;3676257;3676306;3676306	+;+;+;+;+;+;+;+;+	318	21334	20914	20339	23710	21756	21857	22266	27260	24956	14004	15877	22042	7332	5602	6228	19896	20672	15539	9839	11634	8287	41087	51245	51223	40468	4533	5691	6262	5896	13765	15698	7951	15516	8692	18265	21149	13440	10458	7631	14199	1959	1847
NCU09994	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3677743;3677743;3678314;3678314;3678455;3678455;3678586;3678719;3678719;3678923;3678923;3679216;3679216;3679387;3679387;3679571;3679571;3679816;3679816	3678257;3678257;3678390;3678390;3678656;3678528;3678656;3678793;3678793;3679149;3679149;3679327;3679327;3679514;3679514;3679732;3679732;3679910;3679910	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1593	4551	4133	4469	5451	4949	5316	4212	4922	4769	1949	1981	2694	1321	972	1314	4191	4290	3345	2317	2635	2061	5970	6931	6811	5641	963	1133	1183	670	2075	1985	865	1545	1156	1387	2320	1435	2795	1917	2146	91	97
NCU10058	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	3709097;3709310;3709505;3709767;3710854	3709149;3709407;3709708;3710783;3711146	+;+;+;+;+	1665	54958	52329	54457	63557	56932	57815	44985	56088	51877	29100	30141	42206	17424	16657	14091	46816	44761	37341	26481	30805	25924	70882	83792	83431	70007	16447	14524	15654	4200	17192	11647	5808	11252	5595	12436	16324	7500	31809	27765	29300	3406	4360
NCU16377	CM002236.1;CM002236.1	3711314;3711911	3711832;3711988	-;-	597	677	679	696	771	677	656	810	1016	922	419	492	748	344	287	220	608	691	523	429	541	345	1470	1713	1581	1333	250	192	261	98	416	337	184	369	218	269	342	186	496	435	677	65	67
NCU10059	CM002236.1;CM002236.1	3712525;3714174	3714112;3714202	+;+	1617	1367	945	1257	1646	1472	1588	1432	1701	1953	837	794	1130	573	457	486	1342	1467	1130	658	821	610	2310	2702	2780	2184	461	440	610	251	726	568	303	509	348	322	590	312	913	724	1193	72	134
NCU08578	CM002236.1;CM002236.1;CM002236.1	3730696;3730834;3731219	3730764;3731153;3732086	+;+;+	1257	10462	10654	10205	10873	10161	10528	7351	9897	9379	7739	7617	10559	3783	3790	3178	8463	8444	6666	4842	5820	4300	16013	19217	18879	15740	3780	3504	4465	1995	7083	4740	1482	3020	1552	4676	5749	2765	5577	5227	6549	1241	1266
NCU08579	CM002236.1	3732735	3734600	-	1866	4293	4349	4281	4914	4352	4802	3101	3756	3456	2576	2326	3034	855	555	730	3240	3272	2507	2479	2641	1986	4446	5631	5680	4630	758	696	891	547	1621	1713	902	1489	982	1381	1909	1104	2379	1419	2190	175	340
